actor_1_name,actor_2_name,actor_3_name,director_name,genres,movie_title,comb
Gary Cole,Elizabeth Perkins,Chelsea Handler,Tim Hill,Adventure|Animation|Comedy|Family|Fantasy,hop,Gary ColeElizabeth PerkinsChelsea HandlerTim HillAdventure|Animation|Comedy|Family|Fantasy
Gerard Butler,Michael Fassbender,Vincent Regan,Zack Snyder,Action|Drama|Fantasy|War,300,Gerard ButlerMichael FassbenderVincent ReganZack SnyderAction|Drama|Fantasy|War
Robert De Niro,Blythe Danner,Teri Polo,Jay Roach,Comedy|Romance,meet the fockers,Robert De NiroBlythe DannerTeri PoloJay RoachComedy|Romance
Eric Dane,Kathleen Turner,Haley Bennett,David Frankel,Comedy|Drama|Family,marley & me,Eric DaneKathleen TurnerHaley BennettDavid FrankelComedy|Drama|Family
Tom Hanks,Jeffrey DeMunn,Michael Jeter,Frank Darabont,Crime|Drama|Fantasy|Mystery,the green mile,Tom HanksJeffrey DeMunnMichael JeterFrank DarabontCrime|Drama|Fantasy|Mystery
Jill Hennessy,Tichina Arnold,Drew Sidora,Walt Becker,Action|Adventure|Comedy,wild hogs,Jill HennessyTichina ArnoldDrew SidoraWalt BeckerAction|Adventure|Comedy
Catherine O'Hara,Fred Willard,Amy Sedaris,Mark Dindal,Adventure|Animation|Comedy|Family|Sci-Fi,chicken little,Catherine O'HaraFred WillardAmy SedarisMark DindalAdventure|Animation|Comedy|Family|Sci-Fi
Patrick Fugit,Sela Ward,Emily Ratajkowski,David Fincher,Crime|Drama|Mystery|Thriller,gone girl,Patrick FugitSela WardEmily RatajkowskiDavid FincherCrime|Drama|Mystery|Thriller
Matt Damon,Josh Hamilton,Nicky Naudé,Doug Liman,Action|Mystery|Thriller,the bourne identity,Matt DamonJosh HamiltonNicky NaudéDoug LimanAction|Mystery|Thriller
Izabella Scorupco,Joe Don Baker,Tchéky Karyo,Martin Campbell,Action|Adventure|Thriller,goldeneye,Izabella ScorupcoJoe Don BakerTchéky KaryoMartin CampbellAction|Adventure|Thriller
Daniel von Bargen,Timothy Hutton,Clarence Williams III,Simon West,Drama|Mystery|Thriller,the general's daughter,Daniel von BargenTimothy HuttonClarence Williams IIISimon WestDrama|Mystery|Thriller
Natascha McElhone,Noah Emmerich,Peter Krause,Peter Weir,Comedy|Drama|Sci-Fi,the truman show,Natascha McElhoneNoah EmmerichPeter KrausePeter WeirComedy|Drama|Sci-Fi
Martin Short,Aria Noelle Curzon,Eden Riegel,Brenda Chapman,Adventure|Animation|Biography|Drama|Family|Fantasy|Musical,the prince of egypt,Martin ShortAria Noelle CurzonEden RiegelBrenda ChapmanAdventure|Animation|Biography|Drama|Family|Fantasy|Musical
Anjelica Huston,Lisa Edelstein,Jeff Garlin,Steve Carr,Comedy|Family,daddy day care,Anjelica HustonLisa EdelsteinJeff GarlinSteve CarrComedy|Family
Denzel Washington,Patrick Fischler,Fred Ward,Baltasar Kormákur,Action|Comedy|Crime|Drama|Thriller,2 guns,Denzel WashingtonPatrick FischlerFred WardBaltasar KormákurAction|Comedy|Crime|Drama|Thriller
Carol Ann Susi,Elizabeth Perkins,Miriam Margolyes,Lawrence Guterman,Action|Comedy|Family|Fantasy,cats & dogs,Carol Ann SusiElizabeth PerkinsMiriam MargolyesLawrence GutermanAction|Comedy|Family|Fantasy
Jason Statham,Charlize Theron,Jimmy Shubert,F. Gary Gray,Action|Crime|Thriller,the italian job,Jason StathamCharlize TheronJimmy ShubertF. Gary GrayAction|Crime|Thriller
Dorian Missick,Alicia Witt,Dana Ivey,Marc Lawrence,Comedy|Romance,two weeks notice,Dorian MissickAlicia WittDana IveyMarc LawrenceComedy|Romance
Sylvester Stallone,Woody Allen,Anne Bancroft,Eric Darnell,Adventure|Animation|Comedy|Family,antz,Sylvester StalloneWoody AllenAnne BancroftEric DarnellAdventure|Animation|Comedy|Family
Jon Favreau,Kristin Davis,Tasha Smith,Peter Billingsley,Comedy,couples retreat,Jon FavreauKristin DavisTasha SmithPeter BillingsleyComedy
Tom Cruise,Robert Duvall,Randy Quaid,Tony Scott,Action|Drama|Sport,days of thunder,Tom CruiseRobert DuvallRandy QuaidTony ScottAction|Drama|Sport
Taylor Lautner,Tom Welling,Alyson Stoner,Adam Shankman,Adventure|Comedy|Family,cheaper by the dozen 2,Taylor LautnerTom WellingAlyson StonerAdam ShankmanAdventure|Comedy|Family
Ki Hong Lee,Lili Taylor,Rosa Salazar,Wes Ball,Action|Sci-Fi|Thriller,the scorch trials,Ki Hong LeeLili TaylorRosa SalazarWes BallAction|Sci-Fi|Thriller
James Franco,Julia Roberts,Billy Crudup,Ryan Murphy,Drama|Romance,eat pray love,James FrancoJulia RobertsBilly CrudupRyan MurphyDrama|Romance
Nicolas Cage,Don Cheadle,Amber Valletta,Brett Ratner,Comedy|Drama|Fantasy|Romance,the family man,Nicolas CageDon CheadleAmber VallettaBrett RatnerComedy|Drama|Fantasy|Romance
Bruce Willis,Morgan Freeman,Jaqueline Fleming,Robert Schwentke,Action|Comedy|Crime|Thriller,red,Bruce WillisMorgan FreemanJaqueline FlemingRobert SchwentkeAction|Comedy|Crime|Thriller
Al Pacino,Dennis Quaid,LL Cool J,Oliver Stone,Drama|Sport,any given sunday,Al PacinoDennis QuaidLL Cool JOliver StoneDrama|Sport
Scarlett Johansson,Kristin Scott Thomas,Jessalyn Gilsig,Robert Redford,Drama|Romance|Western,the horse whisperer,Scarlett JohanssonKristin Scott ThomasJessalyn GilsigRobert RedfordDrama|Romance|Western
Tom Cruise,Jada Pinkett Smith,Debi Mazar,Michael Mann,Crime|Drama|Thriller,collateral,Tom CruiseJada Pinkett SmithDebi MazarMichael MannCrime|Drama|Thriller
Dwayne Johnson,Roger Rees,Bernard Hill,Chuck Russell,Action|Adventure|Fantasy|Thriller,the scorpion king,Dwayne JohnsonRoger ReesBernard HillChuck RussellAction|Adventure|Fantasy|Thriller
Billy Burke,Jay Hernandez,Jacinda Barrett,Jay Russell,Action|Drama|Thriller,ladder 49,Billy BurkeJay HernandezJacinda BarrettJay RussellAction|Drama|Thriller
Tom Cruise,Robert Duvall,David Oyelowo,Christopher McQuarrie,Action|Crime|Mystery|Thriller,jack reacher,Tom CruiseRobert DuvallDavid OyelowoChristopher McQuarrieAction|Crime|Mystery|Thriller
LL Cool J,Michael Rapaport,Saffron Burrows,Renny Harlin,Action|Sci-Fi|Thriller,deep blue sea,LL Cool JMichael RapaportSaffron BurrowsRenny HarlinAction|Sci-Fi|Thriller
Misha Gabriel Hamilton,Mekia Cox,Judith Hill,Kenny Ortega,Documentary|Music,this is it,Misha Gabriel HamiltonMekia CoxJudith HillKenny OrtegaDocumentary|Music
Matt Damon,Monique Gabriela Curnen,Griffin Kane,Steven Soderbergh,Drama|Thriller,contagion,Matt DamonMonique Gabriela CurnenGriffin KaneSteven SoderberghDrama|Thriller
Estella Warren,Dyan Cannon,Bill Hunter,David McNally,Action|Adventure|Comedy|Crime,kangaroo jack,Estella WarrenDyan CannonBill HunterDavid McNallyAction|Adventure|Comedy|Crime
Jennifer Saunders,Dawn French,John Hodgman,Henry Selick,Animation|Family|Fantasy,coraline,Jennifer SaundersDawn FrenchJohn HodgmanHenry SelickAnimation|Family|Fantasy
Zooey Deschanel,Alan Ruck,Kristen Connolly,M. Night Shyamalan,Sci-Fi|Thriller,the happening,Zooey DeschanelAlan RuckKristen ConnollyM. Night ShyamalanSci-Fi|Thriller
Denzel Washington,Radha Mitchell,Giancarlo Giannini,Tony Scott,Action|Crime|Drama|Thriller,man on fire,Denzel WashingtonRadha MitchellGiancarlo GianniniTony ScottAction|Crime|Drama|Thriller
Robert Downey Jr.,Joel David Moore,Kristin Davis,Brian Robbins,Comedy|Family|Fantasy,the shaggy dog,Robert Downey Jr.Joel David MooreKristin DavisBrian RobbinsComedy|Family|Fantasy
Snoop Dogg,Carmen Electra,Fred Williamson,Todd Phillips,Comedy|Crime,starsky & hutch,Snoop DoggCarmen ElectraFred WilliamsonTodd PhillipsComedy|Crime
Jim Belushi,Harvey Korman,Jake Lloyd,Brian Levant,Comedy|Family,jingle all the way,Jim BelushiHarvey KormanJake LloydBrian LevantComedy|Family
James Babson,Rupert Evans,Brian Steele,Guillermo del Toro,Action|Fantasy|Horror|Sci-Fi,hellboy,James BabsonRupert EvansBrian SteeleGuillermo del ToroAction|Fantasy|Horror|Sci-Fi
Robert Duvall,Kathleen Quinlan,Sydney Pollack,Steven Zaillian,Drama,a civil action,Robert DuvallKathleen QuinlanSydney PollackSteven ZaillianDrama
Anna Kendrick,Kodi Smit-McPhee,Elaine Stritch,Chris Butler,Adventure|Animation|Comedy|Family|Fantasy,paranorman,Anna KendrickKodi Smit-McPheeElaine StritchChris ButlerAdventure|Animation|Comedy|Family|Fantasy
J.K. Simmons,Bruce Willis,Sophie Okonedo,Michael Caton-Jones,Action|Adventure|Crime|Thriller,the jackal,J.K. SimmonsBruce WillisSophie OkonedoMichael Caton-JonesAction|Adventure|Crime|Thriller
Ivana Milicevic,Joe Morton,Callum Rennie,John Woo,Action|Mystery|Sci-Fi|Thriller,paycheck,Ivana MilicevicJoe MortonCallum RennieJohn WooAction|Mystery|Sci-Fi|Thriller
Joe Mantegna,Stockard Channing,Raymond Cruz,Jon Avnet,Drama|Romance,up close & personal,Joe MantegnaStockard ChanningRaymond CruzJon AvnetDrama|Romance
Emma Watson,Matthew Broderick,Frank Langella,Sam Fell,Adventure|Animation|Comedy|Family|Fantasy,the tale of despereaux,Emma WatsonMatthew BroderickFrank LangellaSam FellAdventure|Animation|Comedy|Family|Fantasy
Bianca Kajlich,Oliver Hudson,Adhir Kalyan,unknown,Comedy|Romance,rules of engagement            ,Bianca KajlichOliver HudsonAdhir KalyanunknownComedy|Romance
Romany Malco,Debi Mazar,Ritchie Coster,Kevin Donovan,Action|Comedy|Sci-Fi,the tuxedo,Romany MalcoDebi MazarRitchie CosterKevin DonovanAction|Comedy|Sci-Fi
Peter Greene,Brenda Bakke,Patrick Kilpatrick,Geoff Murphy,Action|Thriller,under siege 2: dark territory,Peter GreeneBrenda BakkePatrick KilpatrickGeoff MurphyAction|Thriller
Colm Feore,Nonso Anozie,Gemma Chan,Kenneth Branagh,Action|Drama|Thriller,jack ryan: shadow recruit,Colm FeoreNonso AnozieGemma ChanKenneth BranaghAction|Drama|Thriller
Jennifer Lawrence,Robert De Niro,Bradley Cooper,David O. Russell,Biography|Comedy|Drama,joy,Jennifer LawrenceRobert De NiroBradley CooperDavid O. RussellBiography|Comedy|Drama
Gerard Butler,Radha Mitchell,Julian Kostov,Babak Najafi,Action|Crime|Drama|Thriller,london has fallen,Gerard ButlerRadha MitchellJulian KostovBabak NajafiAction|Crime|Drama|Thriller
Gary Dourdan,Michael Wincott,Raymond Cruz,Jean-Pierre Jeunet,Action|Horror|Sci-Fi,alien: resurrection,Gary DourdanMichael WincottRaymond CruzJean-Pierre JeunetAction|Horror|Sci-Fi
Tate Donovan,Ned Beatty,Louis Ferreira,Antoine Fuqua,Action|Crime|Drama|Mystery|Thriller,shooter,Tate DonovanNed BeattyLouis FerreiraAntoine FuquaAction|Crime|Drama|Mystery|Thriller
Isaac Hempstead Wright,Dee Bradley Baker,Tracy Morgan,Graham Annable,Adventure|Animation|Comedy|Family|Fantasy,the boxtrolls,Isaac Hempstead WrightDee Bradley BakerTracy MorganGraham AnnableAdventure|Animation|Comedy|Family|Fantasy
Goran Visnjic,Dianne Wiest,Stockard Channing,Griffin Dunne,Comedy|Drama|Fantasy|Romance,practical magic,Goran VisnjicDianne WiestStockard ChanningGriffin DunneComedy|Drama|Fantasy|Romance
Morgan Freeman,Will Ferrell,Alison Brie,Phil Lord,Action|Adventure|Animation|Comedy|Family|Fantasy,the lego movie,Morgan FreemanWill FerrellAlison BriePhil LordAction|Adventure|Animation|Comedy|Family|Fantasy
Eileen Brennan,Diedrich Bader,Treat Williams,John Pasquin,Action|Comedy|Crime,miss congeniality 2: armed and fabulous,Eileen BrennanDiedrich BaderTreat WilliamsJohn PasquinAction|Comedy|Crime
Christian Bale,Gerard Butler,Matthew McConaughey,Rob Bowman,Action|Adventure|Fantasy|Sci-Fi|Thriller,reign of fire,Christian BaleGerard ButlerMatthew McConaugheyRob BowmanAction|Adventure|Fantasy|Sci-Fi|Thriller
Ryan Gosling,Brandon Molale,Wade Williams,Ruben Fleischer,Action|Crime|Drama|Thriller,gangster squad,Ryan GoslingBrandon MolaleWade WilliamsRuben FleischerAction|Crime|Drama|Thriller
Olivia Wilde,Oliver Platt,Xander Berkeley,Harold Ramis,Adventure|Comedy,year one,Olivia WildeOliver PlattXander BerkeleyHarold RamisAdventure|Comedy
Matt Damon,Morgan Freeman,Leleti Khumalo,Clint Eastwood,Biography|Drama|History|Sport,invictus,Matt DamonMorgan FreemanLeleti KhumaloClint EastwoodBiography|Drama|History|Sport
Robin Wright,Harry Lennix,Michael Weston,Kevin Macdonald,Crime|Drama|Mystery|Thriller,state of play,Robin WrightHarry LennixMichael WestonKevin MacdonaldCrime|Drama|Mystery|Thriller
Julia Roberts,Tom Wilkinson,Denis O'Hare,Tony Gilroy,Comedy|Crime|Romance|Thriller,duplicity,Julia RobertsTom WilkinsonDenis O'HareTony GilroyComedy|Crime|Romance|Thriller
Steven Anthony Lawrence,Ray Walston,Michael Lerner,Donald Petrie,Comedy|Family|Sci-Fi,my favorite martian,Steven Anthony LawrenceRay WalstonMichael LernerDonald PetrieComedy|Family|Sci-Fi
Blair Brown,David Rasche,Martin Donovan,Clark Johnson,Action|Crime|Thriller,the sentinel,Blair BrownDavid RascheMartin DonovanClark JohnsonAction|Crime|Thriller
Dwayne Johnson,Gary Oldman,James Corden,Jorge Blanco,Adventure|Animation|Comedy|Family|Sci-Fi,planet 51,Dwayne JohnsonGary OldmanJames CordenJorge BlancoAdventure|Animation|Comedy|Family|Sci-Fi
Tom Hardy,LeVar Burton,Jonathan Frakes,Stuart Baird,Action|Adventure|Sci-Fi|Thriller,star trek: nemesis,Tom HardyLeVar BurtonJonathan FrakesStuart BairdAction|Adventure|Sci-Fi|Thriller
Cedric the Entertainer,Paul Adelstein,Julia Duffy,Joel Coen,Comedy|Crime|Romance,intolerable cruelty,Cedric the EntertainerPaul AdelsteinJulia DuffyJoel CoenComedy|Crime|Romance
Clint Eastwood,Ed Lauter,Bob Gunton,Robert Lorenz,Drama|Sport,trouble with the curve,Clint EastwoodEd LauterBob GuntonRobert LorenzDrama|Sport
Bojana Novakovic,Ray Winstone,Denis O'Hare,Martin Campbell,Crime|Drama|Mystery|Thriller,edge of darkness,Bojana NovakovicRay WinstoneDenis O'HareMartin CampbellCrime|Drama|Mystery|Thriller
John Kapelos,Penelope Ann Miller,Chi Muoi Lo,Peter Hyams,Horror|Mystery|Sci-Fi|Thriller,the relic,John KapelosPenelope Ann MillerChi Muoi LoPeter HyamsHorror|Mystery|Sci-Fi|Thriller
Robert De Niro,Cathy Moriarty,Joe Viterelli,Harold Ramis,Comedy|Crime,analyze that,Robert De NiroCathy MoriartyJoe ViterelliHarold RamisComedy|Crime
Robert De Niro,Al Pacino,50 Cent,Jon Avnet,Action|Crime|Drama|Mystery|Thriller,righteous kill,Robert De NiroAl Pacino50 CentJon AvnetAction|Crime|Drama|Mystery|Thriller
Bruce Willis,Miko Hughes,Carrie Preston,Harold Becker,Action|Crime|Drama|Thriller,mercury rising,Bruce WillisMiko HughesCarrie PrestonHarold BeckerAction|Crime|Drama|Thriller
Robert Downey Jr.,Stephen Root,Rachael Harris,Joe Wright,Biography|Drama|Music,the soloist,Robert Downey Jr.Stephen RootRachael HarrisJoe WrightBiography|Drama|Music
Matt Damon,Will Smith,Charlize Theron,Robert Redford,Drama|Fantasy|Sport,the legend of bagger vance,Matt DamonWill SmithCharlize TheronRobert RedfordDrama|Fantasy|Sport
Philip Seymour Hoffman,Zooey Deschanel,Michael Angarano,Cameron Crowe,Adventure|Comedy|Drama|Music,almost famous,Philip Seymour HoffmanZooey DeschanelMichael AngaranoCameron CroweAdventure|Comedy|Drama|Music
Bill Murray,Roger Rees,Ben Falcone,Tim Hill,Animation|Comedy|Family|Fantasy,garfield 2,Bill MurrayRoger ReesBen FalconeTim HillAnimation|Comedy|Family|Fantasy
Sunny Mabrey,Nona Gaye,Xzibit,Lee Tamahori,Action|Adventure|Crime|Thriller,xxx: state of the union,Sunny MabreyNona GayeXzibitLee TamahoriAction|Adventure|Crime|Thriller
Josh Wingate,Alan Dale,Jacob Hopkins,Scott Stewart,Action|Fantasy|Horror|Sci-Fi|Thriller,priest,Josh WingateAlan DaleJacob HopkinsScott StewartAction|Fantasy|Horror|Sci-Fi|Thriller
Brad Pitt,Adriano Giannini,Timothy West,Patrick Gilmore,Adventure|Animation|Comedy|Drama|Family|Fantasy|Romance,sinbad: legend of the seven seas,Brad PittAdriano GianniniTimothy WestPatrick GilmoreAdventure|Animation|Comedy|Drama|Family|Fantasy|Romance
Sean Pertwee,Joely Richardson,Kathleen Quinlan,Paul W.S. Anderson,Horror|Sci-Fi|Thriller,event horizon,Sean PertweeJoely RichardsonKathleen QuinlanPaul W.S. AndersonHorror|Sci-Fi|Thriller
Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,Joss Whedon,Action|Adventure|Sci-Fi,the avengers,Chris HemsworthRobert Downey Jr.Scarlett JohanssonJoss WhedonAction|Adventure|Sci-Fi
Joe Morton,Susanna Thompson,Matt Craven,Tom Shadyac,Drama|Fantasy|Mystery|Romance|Thriller,dragonfly,Joe MortonSusanna ThompsonMatt CravenTom ShadyacDrama|Fantasy|Mystery|Romance|Thriller
Scarlett Johansson,Mia Kirshner,Mike Starr,Brian De Palma,Crime|Drama|Mystery|Thriller,the black dahlia,Scarlett JohanssonMia KirshnerMike StarrBrian De PalmaCrime|Drama|Mystery|Thriller
James Franco,Tyler Labine,Philip Winchester,Tony Bill,Action|Adventure|Drama|History|Romance|War,flyboys,James FrancoTyler LabinePhilip WinchesterTony BillAction|Adventure|Drama|History|Romance|War
Clifton Collins Jr.,Delroy Lindo,Michael Irby,Rod Lurie,Action|Drama|Thriller,the last castle,Clifton Collins Jr.Delroy LindoMichael IrbyRod LurieAction|Drama|Thriller
Robert Forster,Wilson Cruz,Vanessa Marshall,Walter Hill,Horror|Sci-Fi|Thriller,supernova,Robert ForsterWilson CruzVanessa MarshallWalter HillHorror|Sci-Fi|Thriller
Matt Bomer,William Hurt,Kevin Corrigan,Akiva Goldsman,Drama|Fantasy|Mystery|Romance,winter's tale,Matt BomerWilliam HurtKevin CorriganAkiva GoldsmanDrama|Fantasy|Mystery|Romance
Aidan Turner,Kevin Zegers,CCH Pounder,Harald Zwart,Fantasy|Horror|Mystery|Romance,the mortal instruments: city of bones,Aidan TurnerKevin ZegersCCH PounderHarald ZwartFantasy|Horror|Mystery|Romance
Marc Blucas,Mike O'Malley,Shawn Christian,Brian Robbins,Adventure|Comedy|Family|Romance|Sci-Fi,meet dave,Marc BlucasMike O'MalleyShawn ChristianBrian RobbinsAdventure|Comedy|Family|Romance|Sci-Fi
Dougray Scott,Camryn Manheim,Ariel Gade,Walter Salles,Drama|Horror|Thriller,dark water,Dougray ScottCamryn ManheimAriel GadeWalter SallesDrama|Horror|Thriller
Matthew McConaughey,Adam Goldberg,Clint Howard,Ron Howard,Comedy|Drama,edtv,Matthew McConaugheyAdam GoldbergClint HowardRon HowardComedy|Drama
Brendan Fraser,Stephen Graham,Jamie Foreman,Iain Softley,Adventure|Family|Fantasy,inkheart,Brendan FraserStephen GrahamJamie ForemanIain SoftleyAdventure|Family|Fantasy
Scarlett Johansson,Jaime King,Louis Lombardi,Frank Miller,Action|Crime|Fantasy|Thriller,the spirit,Scarlett JohanssonJaime KingLouis LombardiFrank MillerAction|Crime|Fantasy|Thriller
Johnny Depp,Olivia Munn,Ulrich Thomsen,David Koepp,Action|Comedy|Mystery|Romance,mortdecai,Johnny DeppOlivia MunnUlrich ThomsenDavid KoeppAction|Comedy|Mystery|Romance
Jason Statham,Mike Dopud,Tania Saulnier,Uwe Boll,Action|Adventure|Fantasy|Thriller,in the name of the king: a dungeon siege tale,Jason StathamMike DopudTania SaulnierUwe BollAction|Adventure|Fantasy|Thriller
Angelina Jolie Pitt,Teri Polo,Noah Emmerich,Martin Campbell,Adventure|Drama|Romance|War,beyond borders,Angelina Jolie PittTeri PoloNoah EmmerichMartin CampbellAdventure|Drama|Romance|War
Li Gong,Aaron Kwok,Eddie Peng,Pou-Soi Cheang,Action|Adventure|Fantasy,xi you ji zhi: sun wukong san da baigu jing,Li GongAaron KwokEddie PengPou-Soi CheangAction|Adventure|Fantasy
James Franco,Clayne Crawford,Paolo Montalban,John Dahl,Action|Drama|War,the great raid,James FrancoClayne CrawfordPaolo MontalbanJohn DahlAction|Drama|War
Ryan Reynolds,Ed Skrein,Stefan Kapicic,Tim Miller,Action|Adventure|Comedy|Romance|Sci-Fi,deadpool,Ryan ReynoldsEd SkreinStefan KapicicTim MillerAction|Adventure|Comedy|Romance|Sci-Fi
Kelly Preston,Morgan Fairchild,Eric McCormack,Stephen Herek,Comedy|Drama,holy man,Kelly PrestonMorgan FairchildEric McCormackStephen HerekComedy|Drama
Bradley Cooper,Leonard Roberts,Keir O'Donnell,Clint Eastwood,Action|Biography|Drama|History|Thriller|War,american sniper,Bradley CooperLeonard RobertsKeir O'DonnellClint EastwoodAction|Biography|Drama|History|Thriller|War
Odeya Rush,Dylan Minnette,Ken Marino,Rob Letterman,Adventure|Comedy|Family|Fantasy|Horror,goosebumps,Odeya RushDylan MinnetteKen MarinoRob LettermanAdventure|Comedy|Family|Fantasy|Horror
Nate Richert,Soleil Moon Frye,Caroline Rhea,unknown,Comedy|Family|Fantasy,"sabrina, the teenage witch            ",Nate RichertSoleil Moon FryeCaroline RheaunknownComedy|Family|Fantasy
Jon Heder,Ivana Milicevic,Willie Garson,Mark Waters,Comedy|Fantasy|Romance,just like heaven,Jon HederIvana MilicevicWillie GarsonMark WatersComedy|Fantasy|Romance
Taylor Negron,Mark Addy,Danny Woodburn,Brian Levant,Comedy|Family|Romance|Sci-Fi,the flintstones in viva rock vegas,Taylor NegronMark AddyDanny WoodburnBrian LevantComedy|Family|Romance|Sci-Fi
Sylvester Stallone,Kurtwood Smith,Richard Crenna,Peter MacDonald,Action|Adventure|Thriller|War,rambo iii,Sylvester StalloneKurtwood SmithRichard CrennaPeter MacDonaldAction|Adventure|Thriller|War
Robert Baker,Malcolm Goodwin,Matt Bushell,George Clooney,Comedy|Drama|Romance|Sport,leatherheads,Robert BakerMalcolm GoodwinMatt BushellGeorge ClooneyComedy|Drama|Romance|Sport
Taylor Lautner,Adam Sandler,Jon Lovitz,Frank Coraci,Comedy|Western,the ridiculous 6,Taylor LautnerAdam SandlerJon LovitzFrank CoraciComedy|Western
Michael Kelly,Kim Shaw,Kevin Brown,Marc Lawrence,Comedy|Drama|Romance,did you hear about the morgans?,Michael KellyKim ShawKevin BrownMarc LawrenceComedy|Drama|Romance
Josh Gad,Jessica Szohr,Rob Riggle,Shawn Levy,Comedy,the internship,Josh GadJessica SzohrRob RiggleShawn LevyComedy
Milla Jovovich,Boris Kodjoe,Shawn Roberts,Paul W.S. Anderson,Action|Adventure|Horror|Sci-Fi,resident evil: afterlife,Milla JovovichBoris KodjoeShawn RobertsPaul W.S. AndersonAction|Adventure|Horror|Sci-Fi
David Oyelowo,Nate Parker,Tristan Mack Wilds,Anthony Hemingway,Action|Adventure|Drama|History|War,red tails,David OyelowoNate ParkerTristan Mack WildsAnthony HemingwayAction|Adventure|Drama|History|War
Chris Noth,Kristin Davis,Cynthia Nixon,unknown,Comedy|Romance,sex and the city            ,Chris NothKristin DavisCynthia NixonunknownComedy|Romance
Keanu Reeves,Al Pacino,Charlize Theron,Taylor Hackford,Drama|Mystery|Thriller,the devil's advocate,Keanu ReevesAl PacinoCharlize TheronTaylor HackfordDrama|Mystery|Thriller
Adam Sandler,Leighton Meester,Will Forte,Sean Anders,Comedy,that's my boy,Adam SandlerLeighton MeesterWill ForteSean AndersComedy
Dennis Quaid,Brian Thompson,Terry O'Neill,Rob Cohen,Action|Adventure|Fantasy,dragonheart,Dennis QuaidBrian ThompsonTerry O'NeillRob CohenAction|Adventure|Fantasy
Salma Hayek,Don Cheadle,Chris Penn,Brett Ratner,Action|Comedy|Crime|Drama,after the sunset,Salma HayekDon CheadleChris PennBrett RatnerAction|Comedy|Crime|Drama
Nicolas Cage,Spencer Wilding,Christopher Lambert,Mark Neveldine,Action|Fantasy|Thriller,ghost rider: spirit of vengeance,Nicolas CageSpencer WildingChristopher LambertMark NeveldineAction|Fantasy|Thriller
Christian Bale,Irene Papas,Mihalis Giannatos,John Madden,Drama|Music|Romance|War,captain corelli's mandolin,Christian BaleIrene PapasMihalis GiannatosJohn MaddenDrama|Music|Romance|War
Barry Corbin,Noureen DeWulf,Brian Austin Green,unknown,Comedy|Romance,anger management            ,Barry CorbinNoureen DeWulfBrian Austin GreenunknownComedy|Romance
Vin Diesel,Brad Garrett,Tate Donovan,Adam Shankman,Action|Comedy|Drama|Family|Thriller,the pacifier,Vin DieselBrad GarrettTate DonovanAdam ShankmanAction|Comedy|Drama|Family|Thriller
Dwayne Johnson,Ashley Scott,Michael Bowen,Kevin Bray,Action|Crime,walking tall,Dwayne JohnsonAshley ScottMichael BowenKevin BrayAction|Crime
Tom Hanks,Siobhan Fallon Hogan,Sam Anderson,Robert Zemeckis,Comedy|Drama,forrest gump,Tom HanksSiobhan Fallon HoganSam AndersonRobert ZemeckisComedy|Drama
Jesse McCartney,Beth Riesgraf,Matthew Gray Gubler,Tim Hill,Animation|Comedy|Family|Fantasy|Music,alvin and the chipmunks,Jesse McCartneyBeth RiesgrafMatthew Gray GublerTim HillAnimation|Comedy|Family|Fantasy|Music
Robert De Niro,Blythe Danner,Teri Polo,Jay Roach,Comedy,meet the parents,Robert De NiroBlythe DannerTeri PoloJay RoachComedy
Christian Bale,Frank Welker,Irene Bedard,Mike Gabriel,Adventure|Animation|Drama|Family|History|Musical|Romance,pocahontas,Christian BaleFrank WelkerIrene BedardMike GabrielAdventure|Animation|Drama|Family|History|Musical|Romance
Marlon Brando,Margot Kidder,Ned Beatty,Richard Donner,Action|Adventure|Drama|Romance|Sci-Fi,superman,Marlon BrandoMargot KidderNed BeattyRichard DonnerAction|Adventure|Drama|Romance|Sci-Fi
Jada Pinkett Smith,James Coburn,Dave Chappelle,Tom Shadyac,Comedy|Romance|Sci-Fi,the nutty professor,Jada Pinkett SmithJames CoburnDave ChappelleTom ShadyacComedy|Romance|Sci-Fi
Will Smith,Michael Rapaport,Kevin Sussman,Andy Tennant,Comedy|Romance,hitch,Will SmithMichael RapaportKevin SussmanAndy TennantComedy|Romance
Brendan Fraser,Abraham Benrubi,Holland Taylor,Sam Weisman,Action|Adventure|Comedy|Family|Romance,george of the jungle,Brendan FraserAbraham BenrubiHolland TaylorSam WeismanAction|Adventure|Comedy|Family|Romance
Alyson Hannigan,Thomas Ian Nicholas,Fred Willard,Jesse Dylan,Comedy|Romance,american wedding,Alyson HanniganThomas Ian NicholasFred WillardJesse DylanComedy|Romance
Tom Hanks,Chris Mulkey,Michael Chernus,Paul Greengrass,Biography|Drama|Thriller,captain phillips,Tom HanksChris MulkeyMichael ChernusPaul GreengrassBiography|Drama|Thriller
Mila Kunis,James Franco,Steve Carell,Shawn Levy,Comedy|Crime|Romance|Thriller,date night,Mila KunisJames FrancoSteve CarellShawn LevyComedy|Crime|Romance|Thriller
Eric Idle,Fred Rogers,Cathy Moriarty,Brad Silberling,Comedy|Family|Fantasy,casper,Eric IdleFred RogersCathy MoriartyBrad SilberlingComedy|Family|Fantasy
